Message,Label
"जुरोंग पॉइंट तक जाएं, पागल.. केवल बुगिस एन ग्रेट वर्ल्ड ला ई बुफे में उपलब्ध है... सिने वहां अमोर वाट मिला...",ham
ओके लार... यू ओनी के साथ मजाक कर रहा हूं...,ham
21 मई 2005 को एफए कप फाइनल टीके जीतने के लिए सप्ताह में 2 में नि:शुल्क प्रवेश। प्रवेश प्रश्न प्राप्त करने के लिए एफए को 87121 पर टेक्स्ट करें (एसटीडी टीएक्सटी दर) नियम एवं शर्तें लागू 08452810075ओवर18,spam
यू डुन ने इतनी जल्दी हॉर कहा... यू सी पहले से ही फिर कहो...,ham
"नहीं, मुझे नहीं लगता कि वह यूएसएफ जाता है, हालांकि वह यहीं रहता है",ham
"FreeMsg हेलो डार्लिंग अब 3 सप्ताह हो गए हैं और कोई शब्द वापस नहीं आया! मुझे अभी भी इसके लिए कुछ मज़ा चाहिए? टीबी ठीक है! भेजने के लिए XXX एसटीडी सीजी, आरसीवी को å£1.50",spam
मेरा भाई भी मुझसे बात करना पसंद नहीं करता। वे मेरे साथ एड्स के पेटेंट की तरह व्यवहार करते हैं।,ham
आपके अनुरोध के अनुसार 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' को सभी कॉल करने वालों के लिए आपके कॉलरट्यून के रूप में सेट कर दिया गया है। अपने दोस्तों के कॉलर्ट्यून को कॉपी करने के लिए *9 दबाएं,ham
विजेता!! एक महत्वपूर्ण नेटवर्क ग्राहक के रूप में आपको å£900 पुरस्कार पुरस्कार प्राप्त करने के लिए चुना गया है! दावा करने के लिए 09061701461 पर कॉल करें। क्लेम कोड KL341। केवल 12 घंटे वैध।,spam
क्या आपका मोबाइल 11 महीने या उससे अधिक का था? यूआर कैमरे के साथ नवीनतम रंगीन मोबाइलों को मुफ्त में अपडेट करने का हकदार है! मोबाइल अपडेट कंपनी को 08002986030 पर निःशुल्क कॉल करें,spam
"मैं जल्द ही घर आने वाला हूँ और मैं आज रात इस बारे में और बात नहीं करना चाहता, के? मैं आज काफी रोया हूं।",ham
"कैश जीतने के छह मौके! 100 से 20,000 पाउंड txt> CSH11 और 87575 पर भेजें। लागत 150p/दिन, 6 दिन, 16+ TsandCs लागू उत्तर दें HL 4 जानकारी",spam
"अति आवश्यक! आपने हमारे å£100,000 पुरस्कार जैकपॉट में 1 सप्ताह की मुफ़्त सदस्यता जीती है! शब्द को टेक्स्ट करें: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
मैं इस सांस के लिए आपको धन्यवाद देने के लिए सही शब्दों की तलाश कर रहा हूं। मैं वादा करता हूं कि मैं आपकी मदद को हल्के में नहीं लूंगा और अपना वादा पूरा करूंगा। आप हर समय अद्भुत और आशीर्वाद रहे हैं।,ham
मेरे पास वसीयत के साथ रविवार की तारीख है !!,ham
"XXXMobileMovieClub: अपने क्रेडिट का उपयोग करने के लिए, अगले txt संदेश में WAP लिंक पर क्लिक करें या यहां क्लिक करें>> http://wap। xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
ओह के...मैं यहाँ देख रहा हूँ :),ham
एह आपको याद है कि उसका नाम कैसे लिखा जाता है... हां मैंने किया था। वह iv गीला होने तक शरारती बना।,ham
ठीक है अगर आप ऐसा महसूस करते हैं। इसी तरह इसका गोटा बी होगा,ham
"इंग्लैंड बनाम मैसेडोनिया - लक्ष्य/टीम समाचार देखना न भूलें। अपनी राष्ट्रीय टीम को 87077 पर भेजें, उदाहरण के लिए इंग्लैंड से 87077 तक कोशिश करें: वेल्स, स्कॉटलैंड 4txt/Ì¼1.20 POBoxox36504W45WQ 16+",spam
क्या गंभीरता से आप उसका नाम कैसे लिखते हैं?,ham
मैं 2 महीने के लिए कोशिश करने जा रहा हूं हा हा केवल मजाक कर रहा हूं,ham
